lambda,method,n_runs,final_cv_auc_mean,final_cv_auc_std,final_cv_fitness_mean,final_cv_fitness_std,selected_count_mean,selected_count_std,inner_auc_mean,inner_auc_std,seconds_mean
0.0,AllSearchFeatures,3,0.8571524597284815,0.004629150174466236,0.8571524597284815,0.004629150174466236,150.0,0.0,0.821707870713052,0.006794021157531934,1.435716499996488
0.0,RandomSearch,3,0.8524860369448559,0.0030695116113848646,0.8524860369448559,0.0030695116113848646,96.0,1.7320508075688772,0.8283702195904269,0.007195622676577338,3119.2399493666694
0.0,SA,3,0.8523618967558487,0.004553161526627514,0.8523618967558487,0.004553161526627514,79.33333333333333,5.859465277082317,0.8322450037009622,0.008065873842119802,3566.237397666669
0.0,GA,3,0.8517828624792926,0.0058501433214834765,0.8517828624792926,0.0058501433214834765,74.66666666666667,2.0816659994661335,0.8326612385886998,0.008751886225589029,1595.6665998333362
0.0,TopK_MI_86,1,0.8177014893975117,0.0,0.8177014893975117,0.0,86.0,0.0,0.7805347890451518,0.0,0.5391863999830093
0.0,TopK_MI_73,1,0.8152894144554986,0.0,0.8152894144554986,0.0,73.0,0.0,0.7668171724648409,0.0,0.9286298999941208
0.0,TopK_MI_74,1,0.801212629951633,0.0,0.801212629951633,0.0,74.0,0.0,0.762283123612139,0.0,0.490817199985031
0.0,TopK_MI_77,2,0.7851052289316023,0.043260375113120746,0.7851052289316023,0.043260375113120746,77.0,0.0,0.7543782383419688,0.01956529396071421,0.7228517000039574
0.0,TopK_MI_75,1,0.7546379464054189,0.0,0.7546379464054189,0.0,75.0,0.0,0.7434507772020725,0.0,0.4906031999998959
0.05,GA,3,0.8510090940870731,0.006775960911882186,0.8341202051981842,0.005228523108077833,50.666666666666664,5.033222956847165,0.8328763878608437,0.008285476638722837,1048.2512656999945
0.05,RandomSearch,3,0.842557074322003,0.004720427839594451,0.8292237409886697,0.005394117677622603,40.0,6.244997998398398,0.8186099802615346,0.006145388742096862,2191.099425699989
0.05,SA,3,0.850221573921132,0.004774412573298145,0.8278882405877986,0.007226103560693165,67.0,7.54983443527075,0.8301643844066126,0.006372978519034509,2578.93277413334
0.05,AllSearchFeatures,3,0.8571524597284815,0.004629150174466236,0.8071524597284815,0.004629150174466236,150.0,0.0,0.821707870713052,0.006794021157531934,1.015819766675122
0.05,TopK_MI_68,1,0.8128258015049681,0.0,0.7901591348383015,0.0,68.0,0.0,0.771090488527017,0.0,0.8392412999965018
0.05,TopK_MI_50,1,0.7944101454074363,0.0,0.7777434787407695,0.0,50.0,0.0,0.7537133604737231,0.0,0.6613518999947701
0.05,TopK_MI_74,1,0.801212629951633,0.0,0.7765459632849663,0.0,74.0,0.0,0.762283123612139,0.0,0.48268410001765
0.05,TopK_MI_46,1,0.7798256110807846,0.0,0.7644922777474513,0.0,46.0,0.0,0.735810325684678,0.0,0.3808922000171151
0.05,TopK_MI_59,1,0.7481805948835978,0.0,0.7285139282169311,0.0,59.0,0.0,0.7362505551443375,0.0,0.418119599999045
0.05,TopK_MI_56,1,0.7442372230329887,0.0,0.725570556366322,0.0,56.0,0.0,0.7281197261287934,0.0,0.4159672999958275
0.1,GA,3,0.8472463296142253,0.008142297942994741,0.8216907740586697,0.004152455327410182,38.333333333333336,6.806859285554046,0.8305925857389589,0.009029309119879599,995.3188507666686
0.1,RandomSearch,3,0.8378671654118669,0.004815877184841152,0.816978276522978,0.004931964199694114,31.333333333333332,1.1547005383792517,0.8165004934616333,0.005657771352465426,2140.91361256667
0.1,SA,3,0.8497658179919932,0.00802354908867322,0.8150991513253265,0.00906017729397352,52.0,1.7320508075688772,0.8319542314335061,0.009980937665709717,2358.284068933339
0.1,AllSearchFeatures,3,0.8571524597284815,0.004629150174466236,0.7571524597284816,0.004629150174466328,150.0,0.0,0.821707870713052,0.006794021157531934,0.9500367333287917
0.1,TopK_MI_53,2,0.7911052110006447,0.0031793564288351375,0.7557718776673114,0.0031793564288351375,53.0,0.0,0.755103904515174,0.004141756281439245,0.5594672500010347
0.1,TopK_MI_46,1,0.7328224558795362,0.0,0.7021557892128696,0.0,46.0,0.0,0.717222427831236,0.0,0.3665188000013586
0.1,TopK_MI_50,1,0.732843937923559,0.0,0.6995106045902256,0.0,50.0,0.0,0.7173886010362696,0.0,0.3804151000076672
0.1,TopK_MI_33,1,0.7205749462412747,0.0,0.6985749462412747,0.0,33.0,0.0,0.6947555514433754,0.0,0.3524014999857172
0.1,TopK_MI_36,1,0.7157384908795278,0.0,0.6917384908795278,0.0,36.0,0.0,0.6928632494448557,0.0,0.5669668000045931
0.2,SA,3,0.845031578350043,0.008697079645223217,0.8174760227944873,0.002335165013812469,20.666666666666668,7.637626158259734,0.8285649518874907,0.009409839749428012,1975.3272214333313
0.2,GA,3,0.8463596773688078,0.006049533265022808,0.81658189959103,0.006828462793907972,22.333333333333332,1.1547005383792517,0.8287252035529238,0.008345547575343013,929.0082646000083
0.2,RandomSearch,3,0.8358404532008995,0.01028263727519408,0.7989515643120106,0.008188504165785168,27.666666666666668,2.309401076758503,0.8118845916604984,0.005211108096641756,2143.7156244666644
0.2,TopK_MI_29,1,0.7152706555154486,0.0,0.6766039888487819,0.0,29.0,0.0,0.6964755736491488,0.0,0.5383060000021942
0.2,TopK_MI_14,1,0.6911165942306231,0.0,0.6724499275639564,0.0,14.0,0.0,0.6827148408586232,0.0,0.3077479999919887
0.2,TopK_MI_19,1,0.694617418796274,0.0,0.6692840854629407,0.0,19.0,0.0,0.6895427461139896,0.0,0.2916976999986218
0.2,TopK_MI_21,1,0.6962231923082142,0.0,0.6682231923082141,0.0,21.0,0.0,0.6885884529977794,0.0,0.2947736000060104
0.2,TopK_MI_23,2,0.6961006946766859,0.0003700927694964013,0.6654340280100193,0.0003700927694964013,23.0,0.0,0.6738961880088823,0.012782616849391923,0.44134735001716763
0.2,AllSearchFeatures,3,0.8571524597284815,0.004629150174466236,0.6571524597284816,0.0046291501744663045,150.0,0.0,0.821707870713052,0.006794021157531934,0.9600611666683108
