method,lambda,mask_bits,fitness,auc,selected_count,selected_ratio,seconds,model_fits_so_far,final_cv_auc,final_cv_fitness,final_cv_seconds,final_cv_folds,run_dir,preset,seed,mode,device,rows,search_features
AllSearchFeatures,0.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.8202833086602517,0.8202833086602517,150,1.0,1.289570900000399,5,0.8610166248311307,0.8610166248311307,35.601307899996755,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
RandomSearch,0.0,011110001100010010010100011101011111011110110100111101110001011011111110111111011111000110101010011110001110110100101111011101111110111110011110110100,0.8279319022945966,0.8279319022945966,95,0.6333333333333333,1633.3235824000003,12010,0.8513195442801986,0.8513195442801986,22.52489509999577,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
GA,0.0,100111100001010101100110100010111001001011111001100000011000100110100011010101100111001101110010111111001101010001011101010110011010010110100000010000,0.8321167653589934,0.8321167653589934,73,0.4866666666666667,1893.6040645999965,20435,0.8541433607368665,0.8541433607368665,18.669066000002204,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
SA,0.0,110110011010011010010100111110110001011110100101111010011110101110110001010001010111100101010100100110000100111001011010111000010110011110000000111000,0.8318219837157661,0.8318219837157661,77,0.5133333333333333,5560.165502099997,40985,0.8510061466178704,0.8510061466178704,19.351714099990204,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
TopK_MI_73,0.0,111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000,0.7668171724648409,0.7668171724648409,73,0.4866666666666667,0.9286298999941208,40990,0.8152894144554986,0.8152894144554986,18.44769630000519,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
TopK_MI_77,0.0,111111111111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000,0.7682129903774981,0.7682129903774981,77,0.5133333333333333,0.9614012000092772,40995,0.8156949335307637,0.8156949335307637,18.999555699992925,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
AllSearchFeatures,0.05,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7702833086602516,0.8202833086602517,150,1.0,1.5055872000084491,5,0.8610166248311307,0.8110166248311307,29.84585030000017,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
RandomSearch,0.05,000010000010000000100001000110000101010011010000100111000000000000001000100000000101001100010000100100000000010010000000011000000000000111100000001001,0.804175857389588,0.8158425240562547,35,0.2333333333333333,1915.8866414999936,12010,0.8391379214420887,0.8274712547754219,13.163564799993765,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
GA,0.05,000101011110000000110010000001110010010010100001101101000000110010111001000001110000010010010000010000000000010101000000110010000001000011110000101101,0.8180132000986922,0.8346798667653589,50,0.3333333333333333,1442.6446531999973,21330,0.8527989365210749,0.8361322698544081,15.5477319000056,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
SA,0.05,000101000111110010011000010110101010100100100001100110000010111111100011100100001111010000011011001011001101010001111101110010001100000011000000101110,0.8095611275598322,0.832227794226499,68,0.4533333333333333,3530.764651000005,41930,0.8511327026868278,0.8284660360201612,17.44111559999874,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
TopK_MI_50,0.05,111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7370466938070563,0.7537133604737231,50,0.3333333333333333,0.6613518999947701,41935,0.7944101454074363,0.7777434787407695,15.153554399992572,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
